Wellenlänge,PL,Energie,PL,PL normiert
nm,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c3_em-2,,TDBC_NaOH_c3_em-2,TDBC_NaOH_c3_em-2
602,2732.36,2.05980066445183,798563.059225806,0.109714272226956
603,2432.35,2.05638474295191,713245.444475807,0.097992517880454
604,2199.31,2.05298013245033,647051.191096774,0.0888981148133649
605,2007.28,2.0495867768595,592511.824193549,0.0814049721261643
606,1848.11,2.04620462046205,547332.680612903,0.0751978269288982
607,1714,2.04283360790774,509291.601612903,0.0699713776848529
608,1610.53,2.03947368421053,480124.969290323,0.0659641852638994
609,1509.28,2.03612479474548,451421.996516129,0.0620206948503511
610,1415.56,2.0327868852459,424782.158064516,0.0583606576695729
611,1334.72,2.02945990180033,401837.907354839,0.0552083558703317
612,1256.34,2.02614379084967,379479.523354839,0.0521365460734836
613,1187.07,2.02283849918434,359729.11841129,0.0494230455182866
614,1128.32,2.01954397394137,343042.037677419,0.0471304139005856
615,1078.8,2.01626016260163,329055.75,0.0452088432043746
616,1046.17,2.01298701298701,320141.518967742,0.0439841204240405
617,1011.9,2.0097244732577,310660.644435484,0.0426815467107132
618,987.519,2.00647249190939,304159.037545161,0.0417882934352999
619,967.625,2.0032310177706,298996.905342742,0.0410790700731814
620,947.219,2,293637.89,0.0403427970119756
621,933.286,1.99677938808374,290252.69865,0.0398777068715998
622,918.914,1.9935691318328,286704.13223871,0.039390170694255
623,902.571,1.99036918138042,282511.273918548,0.0388141154988228
624,888.478,1.98717948717949,278993.556232258,0.0383308176159664
625,877.141,1.984,276317.099294355,0.0379631002244638
626,862.415,1.98083067092652,272548.177854839,0.0374452895543609
627,848.045,1.97767145135566,268863.776455645,0.0369390910601601
628,826.583,1.97452229299363,262896.056348387,0.0361191882849719
629,797.615,1.97138314785374,254491.287270161,0.0349644602869762
630,761.301,1.96825396825397,243677.715241936,0.0334787877761531
631,725.572,1.96513470681458,232979.413783871,0.0320089522447249
632,680.422,1.9620253164557,219174.900748387,0.0301123554968062
633,635.299,1.95892575039494,205288.162105645,0.0282044618042637
634,593.509,1.95583596214511,192390.728712903,0.0264324883803338
635,559.447,1.95275590551181,181921.787560484,0.024994164573272
636,528.104,1.9496855345912,172270.931922581,0.0236682372210771
637,500.377,1.94662480376766,163739.899123387,0.0224961618989163
638,470.465,1.9435736677116,154435.447951613,0.0212178269233764
639,445.46,1.94053208137715,146686.02633871,0.0201531368621259
640,414.923,1.9375,137058.436129032,0.0188304059381859
641,387.251,1.93447737909516,128317.804944355,0.0176295339742851
642,358.953,1.93146417445483,119312.50346129,0.0163922990596666
643,330.449,1.92846034214619,110180.490807258,0.0151376553458992
644,302.309,1.92546583850932,101111.633406452,0.0138916885081342
645,272.238,1.92248062015504,91336.946733871,0.01254874805761
646,245.096,1.91950464396285,82485.8728516129,0.0113327024138753
647,220.681,1.91653786707883,74499.2360717742,0.0102354214518802
648,196.505,1.91358024691358,66542.9318709677,0.00914230787127701
649,176.005,1.91063174114022,59785.0661330645,0.00821384729114407
650,154.913,1.90769230769231,52782.8568548387,0.00725181644578267
651,142.681,1.9047619047619,48764.798775,0.00669977698828194
652,128.143,1.90184049079755,43930.727316129,0.00603562576581328
653,117.645,1.8989280245023,40455.553875,0.00555817302047147
654,108.491,1.8960244648318,37422.0456096774,0.00514140048412727
655,102.68,1.89312977099237,35526.0379032258,0.00488090871300564
656,98.0306,1.89024390243902,34021.0453883871,0.00467413836899219
657,91.5123,1.88736681887367,31855.8006312097,0.00437665622280168
658,87.1936,1.88449848024316,30444.9111535484,0.0041828146589503
659,85.1309,1.88163884673748,29815.1067604032,0.00409628607508837
660,80.5206,1.87878787878788,28286.1075483871,0.00388621746016324
661,78.3572,1.87594553706505,27609.6017590323,0.00379327258939956
662,73.536,1.87311178247734,25989.2828903226,0.00357065760188883
663,71.3561,1.87028657616893,25295.1044523387,0.00347528469271258
664,68.6289,1.86746987951807,24401.7802374194,0.00335255122167322
665,66.6712,1.86466165413534,23777.1543709677,0.00326673411360625
666,64.8208,1.86186186186186,23186.8183587097,0.00318562807544685
667,61.8605,1.85907046476762,22194.3999875,0.00304928009630605
668,61.5614,1.8562874251497,22153.3662529032,0.00304364248725812
669,60.4061,1.85351270553064,21802.7536468548,0.00299547195587455
670,58.2971,1.85074626865672,21104.4904758064,0.00289953784679025
671,58.8366,1.84798807749627,21363.4271133871,0.0029351130520503
672,56.7669,1.8452380952381,20673.4062658065,0.00284031135262392
673,56.7715,1.84249628528975,20736.6602608871,0.00284900179473184
674,55.4653,1.83976261127596,20319.8021151613,0.00279172981407632
675,54.675,1.83703703703704,20089.7555443548,0.00276012380400267
676,53.4687,1.83431952662722,19704.7682670968,0.00270723054973424
677,53.2197,1.83161004431315,19671.0740978226,0.00270260132074913
678,52.1744,1.82890855457227,19341.7232980645,0.00265735194077173
679,51.0841,1.82621502209131,18993.4391516936,0.00260950131556961
680,50.8613,1.82352941176471,18966.3428387097,0.00260577856352803
681,49.5439,1.8208516886931,18529.4585547581,0.0025457551994275
682,49.4708,1.81818181818182,18556.49708,0.00254947001203339
683,48.644,1.81551976573939,18299.9120290323,0.00251421789035556
684,48.0534,1.81286549707602,18130.7028309677,0.00249097030357419
685,47.9437,1.81021897810219,18142.2440584677,0.00249255594839101
686,46.9926,1.80758017492711,17834.298056129,0.00245024736531612
687,47.4505,1.80494905385735,18060.6169633065,0.00248134123311442
688,44.0164,1.80232558139535,16802.3377754839,0.00230846673841375
