Wellenlänge,PL,PL NaOH,Korrigierte PL,Energie,PL,PL normiert
nm,w.E.,w.E.,w.E.,eV,w.E.,w.E.
,TDBC_NaOH_c5_em-2,NaOH_em-1,TDBC_NaOH_c5_em-2,,TDBC_NaOH_c5_em-2,TDBC_NaOH_c5_em-2
642,69.6166,59.0733,10.5433,1.93146417445483,3504.49088806452,0.0152452826060036
643,77.791,59.7112,18.0798,1.92846034214619,6028.28647596774,0.0262243315481509
644,76.3935,59.5716,16.8219,1.92546583850932,5626.32864387097,0.0244757292713174
645,75.8649,64.339,11.5259,1.92248062015504,3866.98592540323,0.0168222133112092
646,75.319,62.2793,13.0397,1.91950464396285,4388.44793967742,0.0190906842617206
647,73.967,65.1268,8.8402,1.91653786707883,2984.34458209677,0.0129825352671664
648,73.5554,63.2882,10.2672,1.91358024691358,3476.80512,0.015124843611642
649,75.4976,65.9569,9.5407,1.91063174114022,3240.76804895161,0.0140980320237216
650,75.1065,66.0533,9.0532,1.90769230769231,3084.65887096774,0.0134189238132079
651,69.5874,66.7558,2.83160000000001,1.9047619047619,967.770090000003,0.00421000624368464
652,77.3835,70.3015,7.08199999999999,1.90184049079755,2427.89236129032,0.0105618494574744
653,71.2498,69.6672,1.5826,1.8989280245023,544.22168016129,0.002367480350036
654,77.3192,65.3815,11.9377,1.8960244648318,4117.69781709677,0.0179128634979657
655,80.7753,67.6356,13.1397,1.89312977099237,4546.17725201613,0.01977684040213
656,77.284,69.7774,7.50660000000001,1.89024390243902,2605.12920774194,0.011332867530757
657,79.1086,67.624,11.4846,1.88736681887367,3997.83556887097,0.017391437160629
658,80.755,69.5157,11.2393,1.88449848024316,3924.36474612903,0.0170718234159304
659,83.9668,72.2153,11.7515,1.88163884673748,4115.68804153226,0.0179041205457269
660,83.1973,75.7427,7.4546,1.87878787878788,2618.72883870968,0.0113920288252396
661,76.2423,74.3795,1.86280000000001,1.87594553706505,656.368095806454,0.00285534117044324
662,86.1897,71.5792,14.6105,1.87311178247734,5163.68061451613,0.0224631116957812
663,84.4954,77.775,6.7204,1.87028657616893,2382.32218354839,0.0103636094676238
664,86.8613,78.2996,8.5617,1.86746987951807,3044.20909935484,0.013242958681814
665,80.56,75.5182,5.04180000000001,1.86466165413534,1798.07258467742,0.00782199913627224
666,82.2053,85.4225,-3.21720000000001,1.86186186186186,-1150.81319612903,-0.00500628278460011
667,79.7903,76.8073,2.983,1.85907046476762,1070.24507016129,0.00465579425755112
668,94.6296,81.7944,12.8352,1.8562874251497,4618.85022967742,0.0200929833506077
669,88.0013,83.9089,4.0924,1.85351270553064,1477.09567451613,0.00642568113696556
670,88.3102,80.5333,7.7769,1.85074626865672,2815.36323387097,0.0122474303714397
671,91.5311,83.3054,8.22569999999999,1.84798807749627,2986.7317691129,0.012992920039693
672,99.9185,84.757,15.1615,1.8452380952381,5521.5248516129,0.0240198104282704
