TK_NaOH_abs,,
Wavelength (nm),Abs,
785,-0.01334167086,
784,-0.01298405882,
783,-0.01295531727,
782,-0.01304053329,
781,-0.01254115719,
780,-0.01288692094,
779,-0.0127969496,
778,-0.01239109132,
777,-0.01237649936,
776,-0.01247214247,
775,-0.01207574923,
774,-0.01246132609,
773,-0.01216939464,
772,-0.01234283578,
771,-0.01206265762,
770,-0.01230036281,
769,-0.01206230465,
768,-0.01198540814,
767,-0.01182729099,
766,-0.01183142234,
765,-0.0117979683,
764,-0.01206698827,
763,-0.01189313363,
762,-0.01187494863,
761,-0.01186839957,
760,-0.01180945523,
759,-0.01184739266,
758,-0.01207428891,
757,-0.0118610952,
756,-0.01178139076,
755,-0.01168786362,
754,-0.01170787122,
753,-0.01176909637,
752,-0.01174536347,
751,-0.01173619181,
750,-0.01197332051,
749,-0.01173160691,
748,-0.01170116849,
747,-0.01187938172,
746,-0.0120258471,
745,-0.01204946451,
744,-0.01198500488,
743,-0.01191716082,
742,-0.01239033695,
741,-0.01227092091,
740,-0.0118691558,
739,-0.01215278171,
738,-0.01259623002,
737,-0.01265667658,
736,-0.01280906424,
735,-0.0132142799,
734,-0.01344688889,
733,-0.01431171503,
732,-0.01460931916,
731,-0.01496934704,
730,-0.01522226352,
729,-0.01579959877,
728,-0.01612512022,
727,-0.01684436388,
726,-0.01705378294,
725,-0.01728449389,
724,-0.01774092764,
723,-0.01802958548,
722,-0.01821708679,
721,-0.01843805052,
720,-0.01854169555,
719,-0.0186653994,
718,-0.01877285726,
717,-0.01921891235,
716,-0.01947055571,
715,-0.01977463998,
714,-0.01951965876,
713,-0.01986154541,
712,-0.02006452158,
711,-0.02032580227,
710,-0.02025099657,
709,-0.02057616226,
708,-0.02069494501,
707,-0.02059102431,
706,-0.0206020344,
705,-0.02082425728,
704,-0.02085514739,
703,-0.02097276971,
702,-0.02112374641,
701,-0.02119603381,
700,-0.02112339996,
699,-0.02123325877,
698,-0.02134052478,
697,-0.02129374817,
696,-0.0211734511,
695,-0.02145811357,
694,-0.02148693986,
693,-0.02129680291,
692,-0.02154660597,
691,-0.0215822719,
690,-0.02175086364,
689,-0.02170880884,
688,-0.0216829516,
687,-0.02168526687,
686,-0.02177302167,
685,-0.02160113864,
684,-0.02176898532,
683,-0.02185731381,
682,-0.02173554897,
681,-0.02161374874,
680,-0.02184352838,
679,-0.02189010009,
678,-0.02183461748,
677,-0.02186661772,
676,-0.0217857752,
675,-0.02154025063,
674,-0.02164487913,
673,-0.02180049755,
672,-0.0217288509,
671,-0.02177617326,
670,-0.02192071825,
669,-0.02206413262,
668,-0.02194119431,
667,-0.02181536704,
666,-0.02186612599,
665,-0.02194139175,
664,-0.02188872173,
663,-0.02173914388,
662,-0.02178951725,
661,-0.02186878398,
660,-0.02177085541,
659,-0.02177085541,
658,-0.02208932489,
657,-0.02194006182,
656,-0.02177208662,
655,-0.02210433222,
654,-0.0222599823,
653,-0.0220961161,
652,-0.02216371708,
651,-0.0222095158,
650,-0.02218718268,
649,-0.02208317444,
648,-0.02218398452,
647,-0.0222113356,
646,-0.0221034959,
645,-0.02221596055,
644,-0.02216209285,
643,-0.02214379236,
642,-0.02225580253,
641,-0.02209931426,
640,-0.02224596404,
639,-0.02224473469,
638,-0.02216967009,
637,-0.02202304266,
636,-0.02222250216,
635,-0.02217247337,
634,-0.02213931456,
633,-0.0221685376,
632,-0.02236984856,
631,-0.0221358221,
630,-0.02229947597,
629,-0.02219303697,
628,-0.02217596583,
627,-0.02217237465,
626,-0.02228344418,
625,-0.02214659564,
624,-0.02222678065,
623,-0.02226362191,
622,-0.02221448347,
621,-0.02225693315,
620,-0.02231260762,
619,-0.02207446657,
618,-0.02235883288,
617,-0.02225747332,
616,-0.02231393568,
615,-0.02220848203,
614,-0.02231895179,
613,-0.02222314104,
612,-0.02226578631,
611,-0.02211200818,
610,-0.02231437899,
609,-0.02233075351,
608,-0.02243342437,
607,-0.02224084921,
606,-0.02228191867,
605,-0.02227139287,
604,-0.02215899341,
603,-0.0221176669,
602,-0.02222230472,
601,-0.02237481438,
600,-0.02229662426,
599,-0.02244478092,
598,-0.02267770842,
597,-0.0225541573,
596,-0.0227718465,
595,-0.02305310778,
594,-0.02266439237,
593,-0.02280294336,
592,-0.02268350683,
591,-0.02281330712,
590,-0.02285756543,
589,-0.02301260084,
588,-0.02294572257,
587,-0.02298152074,
586,-0.02303558029,
585,-0.02302492596,
584,-0.02295436524,
583,-0.02318112925,
582,-0.02338800579,
581,-0.02353530005,
580,-0.02319158427,
579,-0.02305585705,
578,-0.02296310663,
577,-0.02322549559,
576,-0.0229337886,
575,-0.02317288332,
574,-0.02311442234,
573,-0.02313283086,
572,-0.02309159562,
571,-0.02319845371,
570,-0.02314053662,
569,-0.02307033911,
568,-0.02309581824,
567,-0.02327584475,
566,-0.02296148613,
565,-0.02316272259,
564,-0.02318922803,
563,-0.02318598889,
562,-0.02299075201,
561,-0.02323747054,
560,-0.02337181568,
559,-0.0232103318,
558,-0.02326259576,
557,-0.0232078284,
556,-0.02298338525,
555,-0.02312581055,
554,-0.02297115885,
553,-0.02302772366,
552,-0.02307902835,
551,-0.0232130792,
550,-0.02328296006,
549,-0.02339526638,
548,-0.02320557088,
547,-0.02328614891,
546,-0.02305546403,
545,-0.02308722772,
544,-0.02313062176,
543,-0.02304363251,
542,-0.02325302735,
541,-0.02308040299,
540,-0.02321671136,
539,-0.02343141846,
538,-0.02324085683,
537,-0.02316831797,
536,-0.02326701209,
535,-0.0229182709,
534,-0.02308349684,
533,-0.02306336723,
532,-0.02300734818,
531,-0.02313808352,
530,-0.02338972315,
529,-0.0231834352,
528,-0.02319114096,
527,-0.02318201214,
526,-0.02343872748,
525,-0.02300646342,
524,-0.02311339229,
523,-0.02311079018,
522,-0.0231335666,
521,-0.02334605902,
520,-0.02349670418,
519,-0.02309400216,
518,-0.02324468456,
517,-0.02311996929,
516,-0.02309881337,
515,-0.02308511548,
514,-0.02319825813,
513,-0.02301849425,
512,-0.02321401238,
511,-0.02318215929,
510,-0.02331558987,
509,-0.02307789959,
508,-0.02329100855,
507,-0.02336715534,
506,-0.02304706909,
505,-0.02310499735,
504,-0.0232506711,
503,-0.02322588861,
502,-0.0232438501,
501,-0.02333266474,
500,-0.02305212431,
499,-0.02323683165,
498,-0.02322981507,
497,-0.02328732796,
496,-0.02313724905,
495,-0.02318834327,
494,-0.02296840958,
493,-0.023231484,
492,-0.02324021794,
491,-0.02338422835,
490,-0.02328664064,
489,-0.02327147871,
488,-0.02296477556,
487,-0.02331146784,
