200427_base.csv;leer;Patrick;27.04.2020 17:46:12;Lambda 19 UV/Vis/NIR;XXX;Rev. 9B/9C
nm;A
1037;0,000135
1038;-0,000144
1039;-0,000522
1040;0,000361
1041;0,000079
1042;0,001104
1043;0,00102
1044;0,000809
1045;0,000692
1046;0,000605
1047;0,000373
1048;0,001689
1049;0,001328
1050;0,001499
1051;0,001156
1052;0,000997
1053;0,001019
1054;0,001806
1055;0,001424
1056;0,001942
1057;0,001422
1058;0,001268
1059;0,001333
1060;0,002098
1061;0,001636
1062;0,001865
1063;0,00062
1064;0,001352
1065;0,001283
1066;0,001568
1067;0,001408
1068;0,001425
1069;0,000871
1070;0,001141
1071;0,00046
1072;0,001287
1073;0,001232
1074;0,000876
1075;0,000526
1076;0,000398
1077;0,000041
1078;0,000724
1079;0,000397
1080;0,00031
1081;0,000229
1082;-0,000471
1083;-0,000631
1084;-0,00022
1085;-0,000608
1086;0,000092
1087;-0,000036
1088;-0,001014
1089;-0,000547
1090;-0,00131
1091;-0,001524
1092;-0,000596
1093;-0,000483
1094;-0,000845
1095;-0,0007
1096;-0,002151
1097;-0,001594
1098;-0,001518
1099;-0,00105
1100;-0,000866
1101;-0,000615
1102;-0,001734
1103;-0,001531
1104;-0,00226
1105;-0,000852
1106;-0,000781
1107;-0,000695
1108;-0,001096
1109;-0,001127
1110;-0,001765
1111;-0,000268
1112;-0,000956
1113;-0,000107
1114;-0,000059
1115;-0,000503
1116;-0,001024
1117;0,000006
1118;-0,000639
1119;0,000635
1120;0,000521
1121;0,0004
1122;0,00004
1123;0,000517
1124;-0,000355
1125;0,000933
1126;0,000963
1127;0,001401
1128;0,00097
1129;0,000637
1130;0,00054
1131;0,001269
1132;0,000855
1133;0,002041
1134;0,001214
1135;0,001116
1136;0,001336
1137;0,001291
1138;0,001618
1139;0,002238
1140;0,001133
1141;0,001413
1142;0,001134
1143;0,001193
1144;0,001803
1145;0,00181
1146;0,001197
1147;0,001336
1148;0,001088
1149;0,000925
1150;0,001569
1151;0,001335
1152;0,001215
1153;0,000966
1154;0,000287
1155;0,000926
1156;0,000876
1157;0,000892
1158;0,000842
1159;0,000415
1160;-0,0001
1161;0,000364
1162;-0,000192
1163;0,000358
1164;0,000512
1165;-0,000088
1166;-0,000156
1167;-0,000583
1168;-0,000734
1169;-0,000232
1170;-0,000456
1171;-0,000426
1172;-0,000428
1173;-0,001281
1174;-0,001292
1175;-0,001617
1176;-0,001183
1177;-0,000367
1178;-0,000583
1179;-0,001321
1180;-0,001133
1181;-0,002312
1182;-0,001273
1183;-0,000853
1184;-0,001206
1185;-0,000844
1186;-0,001069
1187;-0,002361
1188;-0,001311
1189;-0,001189
1190;-0,00036
1191;0,001539
1192;0,001986
1193;0,001384
1194;0,001622
1195;0,000568
1196;0,001038
1197;0,000894
1198;0,001334
1199;0,00111
1200;0,00087
1201;0,000262
1202;0,00102
1203;-0,000053
1204;0,00117
1205;0,000739
1206;0,000146
1207;-0,000065
1208;-0,000157
1209;-0,000456
1210;0,000388
1211;-0,000142
1212;-0,000128
1213;-0,000284
1214;-0,000989
1215;-0,001322
1216;-0,000666
1217;-0,000624
1218;-0,000216
1219;-0,000548
1220;-0,001242
1221;-0,00114
1222;-0,002319
1223;-0,001641
1224;-0,000586
1225;-0,00048
1226;-0,000836
1227;-0,001064
1228;-0,002889
1229;-0,001406
1230;-0,001286
1231;-0,000637
1232;-0,000551
1233;-0,000728
1234;-0,002132
1235;-0,000838
1236;-0,001552
1237;-0,000158
1238;-0,00026
1239;-0,000412
1240;-0,000983
1241;-0,000187
1242;-0,000983
1243;0,00027
1244;-0,000096
1245;0,000512
1246;0,000275
1247;0,000376
1248;-0,000285
1249;0,000699
1250;0,000197
1251;0,001507
1252;0,000848
1253;0,000621
1254;0,00068
1255;0,00115
1256;0,000782
1257;0,001785
1258;0,001035
1259;0,001451
1260;0,00099
1261;0,001197
1262;0,001361
1263;0,002036
1264;0,001365
1265;0,001603
1266;0,001002
1267;0,001279
1268;0,001445
1269;0,001619
1270;0,001301
1271;0,00168
1272;0,000642
1273;0,001017
1274;0,000941
1275;0,00125
1276;0,001072
1277;0,000683
1278;0,000387
1279;0,000771
1280;0,0004
1281;0,000496
1282;0,000638
1283;-0,000222
1284;-0,000072
1285;-0,000574
1286;-0,000331
1287;-0,00011
1288;0,000064
1289;-0,000585
1290;-0,000326
